Nro,Sääntö_ID_en,Kuvaus,Selkokielinen paluuarvo,Virheviestin parametrit,Elinkaarivaihe,Luokka.attribuutti,Koodiarvo
12,lifecycle/req-codelist-plandecision-name-codevalue-changed-proposal,Kaava-asian päätöksen nimi tulee olla 09 (Muutetun kaavaehdotuksen nähtäville asettaminen) jos elinkaarentila on 05 (Muutettu kaavaehdotus),KaavaAsianPäätös-luokan nimi-attribuutin koodiarvo ei-sallittu. Koodiarvo tulee olla {0}-elinkaaritilassa {1}.,"{0} = elinkaaritila, {1} = koodiarvo",Muutettu kaavaehdotus,KaavaAsianPäätös.nimi,{1=}http://uri.suomi.fi/codelist/rytj/kaavpaatnimi/code/0
13,lifecycle/req-codelist-plandecision-name-alternative-codevalues-approved-spatialplan,Kaava-asian päätöksen nimi tulee olla 11 (Kaavan hyväksyminen) jos elinkaarentila on 06 (hyväksytty kaava),KaavaAsianPäätös-luokan nimi-attribuutin koodiarvo ei-,"{0} = elinkaaritila, {1} = koodiarvo, {2} = koodiarvo",Hyväksytty kaava,,"{1}=http://uri.suomi.fi/codelist/rytj/kaavpaatnimi/code/11, {2}=http://uri.suomi.fi/codelist/rytj/kaavpaatnimi/code/12"
14,lifecycle/req-codelist-spatialplancase-subject-corrigendum-request-and-appeal,Elinkaarentila voi olla 07 (oikaisukehotuksen alainen jos aiemmin on toimitettu hyväksytty kaava),Hyväksytty kaava -elinkaaritilassa olevaa KaavaAsia- ja Kaava-luokkaa ja sen kohteita ei löytynyt. Hyväksyttyä kaavaa ei ole toimitettu.,,Oikaisukehotuksen alainen,"Kaava.elinkaaritila, Kaavakohde.elinkaaritila, Kaavamääräys.elinkaaritila, Kaavasuositus.elinkaaritila",
15,lifecycle/req-codelist-spatialplancase-subject-corrigendum-request-and-appeal,Elinkaarentila voi olla 09 (oikaisukehotuksen ja valituksen alainen jos aiemmin on toimitettu hyväksytty kaava),Hyväksytty kaava -elinkaaritilassa olevaa KaavaAsia- ja Kaava-luokkaa ja sen kohteita ei löytynyt. Hyväksyttyä kaavaa ei ole toimitettu.,,Oikaisukehotuksen alainen ja valituksen alainen,"Kaava.elinkaaritila, Kaavakohde.elinkaaritila, Kaavamääräys.elinkaaritila, Kaavasuositus.elinkaaritila",
16,lifecycle/req-codelist-spatialplancase-subject-appeal,Elinkaarentila voi olla 08 (valituksen alainen jos aiemmin on toimitettu hyväksytty kaava),Hyväksytty kaava -elinkaaritilassa olevaa KaavaAsia- ja Kaava-luokkaa ja sen kohteita ei löytynyt. Hyväksyttyä kaavaa ei ole toimitettu.,,Valituksen alainen,"Kaava.elinkaaritila, Kaavakohde.elinkaaritila, Kaavamääräys.elinkaaritila, Kaavasuositus.elinkaaritila",
17,lifecycle/req-codelist-plan-in-force-before-final-allowed-lifecycles,"Kaava-luokan elinkaaritilassa Valituksen alainen, Kaavamääräys-luokan elinkaaritila-attribuutin sallitut arvot Voimassa- tai Valituksen alainen","Kaava-luokan ollessa elinkaaritilassa Valituksen alainen, {0}-luokan elinkaaritila-attribuutin sallitut arvot Voimassa- tai Valituksen alainen",{0} = luokka,Valituksen alainen,Kaavakohde.elinkaaritila,
18,lifecycle/req-codelist-handlingeventtype-codevalue-lifecycle,Käsittelytapahtuma-luokan laji-attribuutin koodiarvo ei-sallittu. Koodiarvon tulee olla Vireilletullut-elinkaaritilassa 04-Kaavan vireilletulo.,Käsittelytapahtuma-luokan laji-attribuutin koodiarvo ei-sallittu. Koodiarvo tulee olla {0}-elinkaaritilassa {1}.,"{0} = elinkaaritila, {1} = koodiarvo",Vireilletullut,Käsittelytapahtuma.laji,{1}=http://uri.suomi.fi/codelist/rytj/kaavakastap/code/04
19,lifecycle/req-codelist-handlingeventtype-codevalue-lifecycle,Käsittelytapahtuma-luokan laji-attribuutin koodiarvo ei-sallittu. Koodiarvon tulee olla Kaavaehdotus-elinkaaritilassa 07 -Kaavaehdotuksen nähtäville asettaminen,Käsittelytapahtuma-luokan laji-attribuutin koodiarvo ei-sallittu. Koodiarvo tulee olla {0}-elinkaaritilassa {1}.,"{0} = elinkaaritila, {1} = koodiarvo",Kaavaehdotus,Käsittelytapahtuma.laji,{1}=http://uri.suomi.fi/codelist/rytj/kaavakastap/code/07
20,lifecycle/req-codelist-handlingeventtype-codevalue-lifecycle,Käsittelytapahtuma-luokan laji-attribuutin koodiarvo ei-sallittu. Koodiarvon tulee olla Voimassa-elinkaaritilassa 16 - Kaava kuulutetaan voimaan,Käsittelytapahtuma-luokan laji-attribuutin koodiarvo ei-sallittu. Koodiarvo tulee olla {0}-elinkaaritilassa {1}.,"{0} = elinkaaritila, {1} = koodiarvo",Voimassa,Käsittelytapahtuma.laji,{1}=http://uri.suomi.fi/codelist/rytj/kaavakastap/code/16
21,lifecycle/req-codelist-handlingeventtype-alternative-codevalues-lifecycle,Käsittelytapahtuma-luokan laji-attribuutin koodiarvo ei-sallittu. Koodiarvon tulee olla Valmistelu-elinkaaritilassa 05 - Osallistumis- ja arviointisuunnitelman nähtäville asettamine tai 06 - Kaavan valmisteluaineiston nähtäville asettaminen.,Käsittelytapahtuma-luokan laji-attribuutin koodiarvo ei-sallittu. Koodiarvo tulee olla {0}-elinkaaritilassa {1} tai {2}.,"{0} = elinkaaritila, {1} = koodiarvo1, {2} = koodiarvo2",Valmistelu,Käsittelytapahtuma.laji,"{1}=http://uri.suomi.fi/codelist/rytj/kaavakastap/code/05, {2}=http://uri.suomi.fi/codelist/rytj/kaavakastap/code/06"
22,lifecycle/req-dateofvalidity-not-allowed-lifecycle,Päätösluokalla täytyy lainvoimaisuuspäivämäärä olla tyhjä kaikissa muissa elinkaarentiloissa paitsi tiloissa lainvoimainen ja voimassa,KaavaAsianPäätös-luokan lainvoimaisuuspäivämäärä oltava tyhjä {0}-elinkaaritilassa,{0} = elinkaaritila,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava",KaavaAsianPäätös.lainvoimaisuuspäivämäärä,
23,lifecycle/req-dateofvalidity-not-null-lifecycle,Kun elikaarentila on voimassa tai lainvoimainen täytyy päätösluokalla olla laivoimaisuuspäivämäärä.,KaavaAsianPäätös-luokan lainvoimaisuuspäivämäärä ei saa olla tyhjä {0}-elinkaaritilassa,{0} = elinkaaritila,"Lainvoimainen, Voimassa",,
24,lifecycle/req-paas-mandatory,Osallistumis- ja arviointisuunnitelma on pakollinen yleiskaavoissa ja maakuntakaavoissa Kaavaehdotus- ja kaikissa myöhemmissä elinkaarivaiheissa KaavaAsia-luokalla. Vireilletullut- elinkaarivaiheessa osallistumis- ja arviontisuunnitelma voidaan toimittaa Ryhti-järjestelmään mutta se ei ole pakollinen. OAS:n puuttuminen ei estä asemakaavan tallentamista.,OAS pakollinen {0}-elinkaaritilassa KaavaAsia-luokalla.,{0} = elinkaaritila,"Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",KaavaAsia.osallistumisJaArviontisuunnitelma,
25,lifecycle/req-decision-document-mandatory,"Hyväksytty, lainvoimainen ja voimassa elinkaarivaiheissa KaavaAsianPäätös-luokan päätösasiakirja on pakollinen.",KaavaAsianPäätös-luokan päätösasiakirja pakollinen {0}-elinkaaritilassa.,{0} = elinkaaritila,"Hyväksytty, Lainvoimainen, Voimassa",KaavaAsianPäätös.päätösasiakirja,
26,lifecycle/req-period-of-validity-begin-mandatory,Kaavan voimaan kuuluttamisen jälkeen voimassaoloAjan alkupäivämäärä on pakollinen Voimassa -vaiheessa. Alkupäivämäärä on voimaankuuluttamisen päivämäärä.,{0}-luokan voimassaoloAjan alkupäivämäärä on pakollinen Voimassa -elinkaaritilassa.,{0} = luokka,Voimassa,"Kaava.voimassaoloAika , Kaavakohde.voimassaoloAika, Kaavamääräys.voimassaoloAika, Kaavasuositus.voimassaoloAika",
27,lifecycle/req-period-of-validity-end-not-allowed,Kaavan voimaan kuuluttamisen jälkeen voimassaoloAjan loppupäivämäärän on oltava tyhjä Voimassa -vaiheessa.,{0}-luokan voimassaoloAjan loppupäivämäärä on oltava tyhjä Voimassa -elinkaaritilassa.,{0} = luokka,Voimassa,"Kaava.voimassaoloAika , Kaavakohde.voimassaoloAika, Kaavamääräys.voimassaoloAika, Kaavasuositus.voimassaoloAika",
