Nro,Sääntö_ID_en,Kuvaus,Selkokielinen paluuarvo,Virheviestin parametrit,Elinkaarivaihe,Luokka.attribuutti,Koodiarvo
40,quality/req-geom-coord-system-not-allowed,"Geometria-tyyppisten attribuuttien arvot tulee olla sallittujen koordinaatistojen mukaisia. Sallitut koordinaatistot ovat: EPSG:3067 valtakunnallinen koordinaatisto tiedon validoinnissa ja tallennuksessa, EPSG:3873-3885 koordinaatistot tiedon validoinnissa ja tallennuksessa, Korkeusjärjestelmä (N2000). Validointi perustuu annetun crs-elementin koordinaatistoon ja sen mukaisesti tehtävään vertailuun geometria- tyyppisen attribuuttin sisällön kanssa.",Virheellinen Srid. Sallitut arvot ovat: {0},{0} = koodisto,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",Kaavakohde.geometria,{0}= http://uri.suomi.fi/codelist/rakrek/ETRS89
41,quality/req-geom-plansrid-mismatch,"Kaikkien Kaavakohde-luokkien geometrioiden srid on oltava Kaava-luokan aluerajauksen srid:n mukainen. Geometria-tyyppisten attribuuttien arvot tulee olla sallittujen koordinaatistojen mukaisia. Sallitut koordinaatistot ovat: EPSG:3067 valtakunnallinen koordinaatisto tiedon validoinnissa ja tallennuksessa, EPSG:3873-3885 koordinaatistot tiedon validoinnissa ja tallennuksessa, Korkeusjärjestelmä (N2000). Validointi perustuu annetun crs-elementin koordinaatistoon ja sen mukaisesti tehtävään vertailuun geometria-tyyppisen attribuuttin sisällön kanssa.",Kaikkien kaavakohteiden geometrioiden srid on oltava kaavan geometrian srid:n mukainen. Kohteiden srid oltava {0},{0} = koodisto,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","Kaava.aluerajaus, Kaavakohde.geometria",{0}=http://uri.suomi.fi/codelist/rakrek/ETRS89
42,quality/req-geom-location-administrativearea,"KaavaAsia-luokan aluerajaus-attribuutin aluemainen geometria tulee sijaita hallinnollisenAlueenTunnuksen-attribuutin arvoja vastaavien aluerajauksen sisällä. hallinnollisenAlueenTunnuksen tulee olla voimassa. Validointi perustuu Maanmittauslaitoksen kuntaraja-aineistoon (1:10000), jossa käytetään 10cm bufferia. ",Aluerajaus-attribuutin aluemainen geometria tulee sijaita hallinnollisenAlueenTunnus-attribuutin arvoa vastaavan aluerajauksien sisällä ja hallinnollisenAlueenTunnuksen tulee olla voimassa.,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","KaavaAsia.hallinnollisenAlueenTunnus, KaavaAsianVaihe. aluerajaus, Kaava.aluerajaus",
43,quality/req-municipality-common-localmasterlplan-administrativeareaid,Kaavalajin ollessa 24 (Kuntien yhteinen yleiskaava) tulee hallinnollisenalueen tunnuksia (kuntatunnuksia) olla enemmän kuin yksi.,"KaavaAsia-luokan kaavalajin ollessa {0}, tulee hallinnollisenAlueenTunnus-attribuutin arvolla olla useampi kuin yksi voimassa oleva hallinnollisen alueen tunnus.",{0} = koodisto,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","KaavaAsia.kaavalaji, KaavaAsia.hallinnollisenAlueenTunnus",{0}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/24
44,quality/req-municipality-common-localmasterlplan-geographicalarea,Kaavalajin ollessa 24 (Kuntien yhteinen yleiskaava) tulee aluerajauksen olla annettujen kuntatunnuksien määrittelemän alueen sisäpuolella.,"KaavaAsia-luokan kaavalajin ollessa {0}, tulee KaavaAsia-luokan aluerajaus-attribuutin aluemainen geometria sijaita hallinnollisenAlueenTunnus-attribuutin arvoja vastaavan yhtenäisen aluerajauksen sisällä.",{0} = koodisto,,"KaavaAsia.kaavalaji, KaavaAsia.hallinnollisenAlueenTunnus, KaavaAsianVaihe.aluerajaus",{0}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/25
45,quality/req-administrativeareaid,"Kaavalajin ollessa, jokin muu kuin 24 (kuntien yhteinen yleiskaava) tulee hallinnollisenalueen tunnuksia olla vain yksi ja sen tulee olla voimassa.","KaavaAsia-luokan kaavalaji-attribuutin arvon ollessa muu kuin {0}, saa hallinnollisenAlueenTunnus-attribuutin arvolla olla vain yksi voimassa oleva hallinnollisen alueen tunnus.",{0} = koodisto,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","KaavaAsia.kaavalaji, KaavaAsia.hallinnollisenAlueenTunnus",{0}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/24
46,quality/req-geom-type-2d-polygon,Aluemaiset geometriat toteuttavat ISO 19107 -standardin määrittelemän Surface-rajapinnan.,{0}-luokan {1}-attribuutin 2d-aluegeometria ei ole kelvollinen,"{0} = luokka, {1} = attribuutti","Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","KaavaAsianVaihe.aluerajaus, Lähtötietoaineisto.aluerajaus, Kaavakohde.geometria, KaavanKumoamistieto.kumottavaKaavanAlue, OsittainKumottavaKaavakohde.voimassaolevaGeometria, KaavanKeskeytystieto.keskeytettyKaavanAlue",
47,quality/req-geom-type-2d-multipolygon,Geometriakokoelmat toteuttavat ISO 19107 -standardin määrittelemän Collection-rajapinnan. Monialue (multisurface) -geometriat Surface-rajapinnan toteuttavista osista (element-attribuutti).,{0}-luokan {1}-attribuutin 2d-monialuegeometria ei ole kelvollinen,"{0} = luokka, {1} = attribuutti","Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","KaavaAsianVaihe.aluerajaus, Lähtötietoaineisto.aluerajaus, Kaavakohde.geometria, KaavanKumoamistieto.kumottavaKaavanAlue, OsittainKumottavaKaavakohde.voimassaolevaGeometria, KaavanKeskeytystieto.keskeytettyKaavanAlue",
48,quality/req-geom-type-3d-object,3-ulotteiset kappalegeometriat toteuttavat joko ISO 19107 -standardin määrittelemän Solid-rajapinnan.,{0}-luokan {1}-attribuutin 3d-kappalegeometria ei ole kelvollinen,"{0} = luokka, {1} = attribuutti","Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","KaavaAsianVaihe.aluerajaus, Lähtötietoaineisto.aluerajaus, Kaavakohde.geometria, KaavanKumoamistieto.kumottavaKaavanAlue, OsittainKumottavaKaavakohde.voimassaolevaGeometria, KaavanKeskeytystieto.keskeytettyKaavanAlue",
49,quality/req-geom-type-3d-multiobject,Geometriakokoelmat toteuttavat ISO 19107 -standardin määrittelemän Collection-rajapinnan. Monikappale (multisolid) -geometriat Solid-rajapinnan toteuttavista osista (element-attribuutti).,{0}-luokan {1}-attribuutin 3d-monikappalegeometria ei ole kelvollinen,"{0} = luokka, {1} = attribuutti","Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","KaavaAsianVaihe.aluerajaus, Lähtötietoaineisto.aluerajaus, Kaavakohde.geometria, KaavanKumoamistieto.kumottavaKaavanAlue, OsittainKumottavaKaavakohde.voimassaolevaGeometria, KaavanKeskeytystieto.keskeytettyKaavanAlue",
50,quality/req-geom-type-multipoint,Geometriakokoelmat toteuttavat ISO 19107 -standardin määrittelemän Collection-rajapinnan. Monipiste (multipoint) -geometriat rakentuvat Point-rajapinnan toteuttavista osista (element-attribuutti).,"Monipistegeometria ei ole kelvollinen. Geometria on multipoint, mutta se sisältää vähemmän kuin 2 pistettä.","{0} = luokka, {1} = attribuutti","Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","Vuorovaikutustapahtuma.sijainti, Käsittelytapahtuma.sijainti, Kaavakohde.geometria",
51,quality/req-geom-type-multilinestring,Geometriakokoelmat toteuttavat ISO 19107 -standardin määrittelemän Collection-rajapinnan. Moniviiva (multicurve) -geometriat Curve-rajapinnan toteuttavista osista (element-attribuutti).,"Moniviivageometria ei ole kelvollinen. Geometria on multilinestring, mutta sisältää vain yhden linestringin.","{0} = luokka, {1} = attribuutti","Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",Kaavakohde.geometria,
52,quality/req-geom-type-point,Pistemäiset geometriat toteuttavat ISO 19107 -standardin määrittelemän Point-rajapinnan.,{0}-luokan {1}-attribuutin pistegeometria ei ole kelvollinen,"{0} = luokka, {1} = attribuutti","Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","Vuorovaikutustapahtuma.sijainti, Käsittelytapahtuma.sijainti, Kaavakohde.geometria",
53,quality/req-geom-type-linestring,Viivamaiset geometriat toteuttavat ISO 19107 -standardin määrittelemän Curve-rajapinnan.,{0}-luokan {1}-attribuutin viivageometria ei ole kelvollinen,"{0} = luokka, {1} = attribuutti","Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",Kaavakohde.geometria,
54,quality/req-geom-linestring-prohibited-cutting,Viivamainen geometria ei saa leikata itseään.,{0}-luokan {1}-attribuutin viivageometria leikkaa itseään,"{0} = luokka, {1} = attribuutti","Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",Kaavakohde.geometria,
55,quality/req-geom-unity-area,"Aluemaisen geometrian sisäosan on oltava yhtenevä, eli minkä tahansa kahden alueen sisäpisteen välillä on voitava muodostaa yhtenäinen käyrä, joka kulkee kokonaan alueen sisällä.",{0}-luokan {1}-attribuutin aluegeometria ei ole yhtenevä alue,"{0} = luokka, {1} = attribuutti","Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","KaavaAsianVaihe.aluerajaus, Lähtötietoaineisto.aluerajaus, Kaava.aluerajaus, Kaavakohde.geometria",
56,quality/req-spatialplanmap-mandatory,Kaava-luokan sisältäessä kaavakohteita on kyseessä tietomallimuotinen kaava. Tällöin Kaava-luokan kaavakartta-attribuutin Kaavakartta-luokka pakollinen.,Kaava-luokka sisältää kaavakohteita. Kaavakartta-luokka pakollinen.,,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",Kaava.kaavakartta,
57,quality/req-spatialplanmap-file-allowed-format,Kaavakartta-luokan tiedosto-attribuutin tiedosto on tyhjä tai ei ole kelvollista formaattia. Tiedoston oltava GeoTIFF-formaattia.,Kaavakartta-luokan tiedosto-attribuutin tiedosto ei ole GeoTIFF-formaattia,,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",Kaavakartta.tiedosto,
58,quality/req-spatialplanregulationtype-reference-spatialplanobject,"Kaavakohde-luokka, johon liittyy Kaavamääräyslaji-koodi ohjeellinenTontti, rakennusala tai sitovan tonttijaonMukainenTontti tulee sisältää liittyväKohde-assosiaatioattribuutilla viittauksen Kaavakohde-luokkaan, joka on Kaavamääräyslaji-koodiltaan aluevaraus tyyppinen ja Lisätiedonlaji-koodiltaan paakayttotarkoitus, jonka sisälle ohjeellinenTontti, rakennusala tai sitovan tonttijaonMukainenTontti spatiaalisesti sijoittuu.","Kaavakohde-luokka, johon liittyy Kaavamääräyslaji-koodi {0}, tulee sisältää liittyväKohde-assosiaatioattribuutilla viittauksen Kaavakohde-luokkaan, joka on Kaavamääräyslaji-koodiltaan aluevaraus tyyppinen ja Lisätiedonlaji-koodiltaan paakayttotarkoitus, jonka sisälle {0} spatiaalisesti sijoittuu.",{0} = koodisto,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",Kaavakohde.liittyväKohde,"{0}=http://uri.suomi.fi/codelist/rytj/RY_Kaavamaarayslaji/code/sitovanTonttijaonMukainenTontti, {0}=http://uri.suomi.fi/codelist/rytj/RY_Kaavamaarayslaji/code/ohjeellinenTontti, {0}=http://uri.suomi.fi/codelist/rytj/RY_Kaavamaarayslaji/code/rakennusala"
59,quality/req-spatialplanregulationgroup-colorcode-form,Kaavamääräysryhmä-luokan värikoodi-attribuutin arvon tulee olla HEX-koodin muotoa #123456.,{0}-luokan {1}-attribuutin arvo on väärän muotoinen. Formaatin tulee olla muotoa #123456.,"{0} = luokka, {1} = attribuutti","Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",Kaavamääräysryhmä.värikoodi,
60,quality/req-codelist-property-codevalue-not-allowed,Skeeman mukaisten attribuuttien koodiarvojen tulee olla sallittujen koodistojen koodiarvojen mukaisia.,Koodiarvo ei ole kelvollinen {0}-luokan {1}-attribuutilla. Tulee kuulua koodistoon {2}.,"{0} = luokka, {1} = attribuutti, {2} = koodisto","Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",Koko tietomalli,
61,quality/req-codelist-property-codevalue-not-null,Skeeman mukaisten attribuuttien koodiarvo ei saa olla tyhjä.,Koodiarvo ei saa olla tyhjä {0}-luokan {1}-attribuutilla. Tulee kuulua koodistoon {2}.,"{0} = luokka, {1} = attribuutti, {2} = koodisto","Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",Koko tietomalli,
62,quality/req-spatialplanregulationtype-one-without-quantity-mandatory,"Kaavakohde-luokkaan täytyy liittyä aina vähintään yksi Kaavamääräysryhmä-luokka, joka sisältää vähintään yhden Kaavamääräyslaji-koodiarvon, joka ei kuulu määrityshierarkiaan ""Suure""","Kaavakohde-luokkaan täytyy liittyä aina vähintään yksi Kaavamääräysryhmä-luokka, joka sisältää vähintään yhden Kaavamääräyslaji-koodiarvon, joka ei kuulu määrityshierarkiaan ""Suure""",,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",Kaavamääräys.laji,
63,quality/req-codelist-spatialplanregulationtype-value-codevalue,Kaavamääräyslaji-koodin arvo-attribuutin tulee olla koodiarvo.,Kaavamääräyslaji-koodin arvo-attribuutin tulee olla koodiarvo,,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",Kaavamääräys.arvo,
64,quality/req-codelist-spatialplanregulation-verbal-regulation-codevalue,"Kaavamääräyslajiksi on valittu sanallinen määräys, Sanallinen määräys attribuutilla pitää olla vähintään yksi SanallisenMääräyksenLaji-koodiston koodiarvo.","Kaavamääräyslaji-koodiksi on valittu sanallinenMaarays, Kaavamääräys-luokan sanallinenMääräys- attribuutilla pitää olla vähintään yksi SanallisenMääräyksenLaji-koodiston koodiarvo.",,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",Kaavamääräys.sanallinenMääräys,
65,quality/req-codelist-spatialplanregulationtype-quantity-value-not-zero,"Kaavamääräyslaji-koodi on koodiarvo, joka edellyttää nollaa suuremman numeerisen suurearvon antamista arvo-attribuutille.",Kaavamääräyslaji-koodi on suure. Kaavamääräyslaji-koodin arvo-attribuutin tulee olla suurempi kuin 0.,,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",Kaavamääräys.arvo,
66,quality/req-codelist-spatialplanregulationtype-quantity-value-not-null,"Kaavamääräyslaji-koodi on koodiarvo, joka edellyttää ei-tyhjän suurearvon antamista arvo-attribuutille.",Kaavamääräyslaji-koodi on suure. Kaavamääräyslaji-koodin arvo-attribuutti ei saa olla tyhjä.,,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",Kaavamääräys.arvo,
67,quality/req-codelist-spatialplanregulationtype-quantity-value-number,"Kaavamääräyslaji-koodi on koodiarvo, joka edellyttää numeroarvo muotoisen suureen antamista arvo-attribuutille.",Kaavamääräyslaji-koodi on suure. Kaavamääräyslaji-koodin arvo-attribuutin tulee olla numeroarvo.,,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",Kaavamääräys.arvo,
68,quality/req-codelist-spatialplanregulationtype-quantity-value-text,"Kaavamääräyslaji-koodi on koodiarvo, joka edellyttää tekstiarvo muotoisen suureen antamista arvo-attribuutille.",Kaavamääräyslaji-koodi on suure. Kaavamääräyslaji-koodin arvo-attribuutin tulee olla tekstiarvo.,,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",Kaavamääräys.arvo,
69,quality/req-codelist-spatialplanregulation-verbal-regulation-not-allowed,"Attribuutti sanallinen määräys tulee olla tyhjä, jos ei ole valittu kaavamääräyslajia Sanallinen määräys","Kaavamääräys-luokan attribuutti sanallinenMääräys tulee olla tyhjä, jos ei ole valittu Kaavamääräyslaji-koodiston sanallinenMaarays-koodiarvoa",,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",Kaavamääräys.sanallinenMääräys,
70,quality/req-codelist-additionalInfoType-codevalue-readout-useclass-useclasstarget-not-null,Jos kaavamääräykseen liittyy lisätieto poisluettava käyttötarkoitus täytyy tähän liittyä arvo,"Arvo-attribuutti ei saa olla tyhjä, jos Lisätiedonlaji-koodi on poisluettava käyttötarkoitus tai käyttötarkoituskohdistus.",,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","Lisätieto.laji, Lisätieto.arvo",
71,quality/req-codelist-additionalInfoType-codevalue-readout-useclass-useclasstarget-codevalue-datatype,"Jos kaavamääräykseen liittyy lisätieto poisluettava käyttötarkoitus täytyy tähän liittyä arvo, joka kertaa poisluettavan käyttötarkoituksen (kaavamääräyslaji-koodistosta)","Arvo-attribuutin tietotyypin tulee olla koodiarvo tyyppinen ja kuulua koodistoon http://uri.suomi.fi/codelist/rytj/RY_Kaavamaarayslaji, kun Lisätiedonlaji-koodi on poisluettavakäyttötarkoitus tai käyttötarkoituskohdistus",,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","Lisätieto.laji, Lisätieto.arvo",
72,quality/req-codelist-legaleffectoflocalmasterplan--not-null,"Jos kaavalaji-attribuutin koodiarvona esiintyy jokin 2- Yleiskaava koodiarvon alakoodi, ei yleiskaavanOikeusvaikutus-attribuutti saa olla tyhjä.","yleiskaavanOikeusvaikutus-attribuutti saa olla tyhjä, jos kaavalaji-attribuutin koodiarvo {0}.",{0} = koodisto,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",KaavaAsia.yleiskaavanIikeusvaikutus,"{0}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/21, {0}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/22, {0}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/23, {0}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/24, {0}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/25, {0}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/26"
73,quality/req-class-mandatory,Skeeman mukaiset pakolliset luokat oltava tallennussanomassa.,{0}-luokka puuttuu. {0}-luokka on pakollinen.,{0} = luokka,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",,
74,quality/req-spatialplanid-plantype-conformity,"Pysyväkaavatunnus tulee vastata annetua kaavalajin arvoa. Kaavalajin mukaisuuden määrittelee kaksi ensimmäistä merkkiä AK, YK, MK.",Pysyvä kaavatunnus ei vastaa kaavalaji-attribuutin arvoa.,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",KaavaAsia.pysyväKaavaTunnus,
75,quality/req-spatialplanid-form,"Pysyväkaavatunnus ei ole oikean muotoinen. Pysyväkaavatunnus tulee olla muotoa AK-123456, YK-123456 tai MK-123456.",Pysyvän kaavatunnuksen muoto ei ole kelvollinen,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",KaavaAsia.pysyväKaavaTunnus,
76,quality/req-spatialplanid-unique,Pysyväkaavatunnus tulee olla uniikki kullekin kaavalle.,Pysyvä kaavatunnus on jo käytössä.,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",KaavaAsia.pysyväKaavaTunnus,
77,quality/req-future-date-not-allowed,"Asia-, Päätös-, Kaava-, kaavamääräys- tai kaavasuositusluokkien päivämäärät eivät voi olla tulevaisuudessa. Päivämäärät tulee olla tallennuspäivämäärä tai aiempi. Tulevaisuuden päivämäärä on sallittu ainoastaan vuorovaikutustapahtuman ajalle.",Päivämäärä ei ole kelvollinen. Päivämäärän tulee olla tallennushetken päivämäärä tai aiempi.,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",,
78,quality/req-generalregulationgroup-spatialplanregulation-spatialplanrecommendation-not-empty,Yleismääräysryhmän tulee sisältää vähintään yksi kaavamääräys tai kaavasuositus.,Yleismääräysryhmällä tulee olla joko kaavamääräyksiä tai -suosituksia. Molemmat eivät saa olla tyhjiä.,,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","Yleismääräysryhmä, Kaavamääräysryhmä.kaavamääräys, Kaavamääräysryhmä.kaavasuositus",
79,quality/req-generalregulationgroup-spatialplanregulation-not-empty,"Kaavamäärysryhmän tulee sisältää vähintään yksi kaavamääräys, joka sisältää vähintään yhden kaavamääräyslaji-koodiston arvon.",Kaavamääräysryhmä-luokan kaavamääräys-attribuutti ei saa olla tyhjä. Tulee olla vähintään yksi kaavamääräys.,,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","Kaavamääräysryhmä, Kaavamääräysryhmä.kaavamääräys, Kaavamääräysryhmä.kaavasuositus",
80,quality/req-codelist-additionalinfotype-mainuseclass-areareservation,"Kaavamääräyksen lisätiedonlaji koodiston arvo pääkäyttötarkoitus voi liittyvä vain kaavamääräyslaji-koodiston arvoon, joka sisältyy aluevaraus laajennukseen.","Kaavamääräyslaji-koodiston koodiarvo täytyy kuulua aluevaraus-laajennukseen silloin, kun kaavamääräykseen liittyy lisätieto, jonka Lisätiedonlaji-koodiarvo on ""paakayttotarkoitus""",,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","Kaavamääräys.laji, Kaavamääräys.lisätieto, Lisätieto.laji",
81,quality/req-codelist-spatialplanregulation-additionalinfotype-only-one-mainuseclass,"Yhteen Kaavamääräyslaji-koodiin saa liittyä korkeintaan yksi lisätieto, jonka Lisätiedonlaji- koodiarvo on ""paakayttotarkoitus""","Yhteen Kaavamääräyslaji-koodiin saa liittyä korkeintaan yksi lisätieto, jonka Lisätiedonlaji-koodiarvo on ""paakayttotarkoitus""",,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","Kaavamääräys.lisätieto, Lisätieto.laji",
82,lifecycle/req-codelist-interactionevent-codevalue-lifecycles-conformity,"Vuorovaikutustapahtuman pitää olla 01-Nähtävilläolo, jos kaavalaji on 11-Kokonaismaakuntakaava tai 12-Vaihemaakuntakaava ja elinkaarentila on kaavaehdotus.","Vuorovaikutustapahtuman on oltava {0} tai {1}, jos elinkaari on {2} ja kaavalaji on {3} tai {4}","{0}=koodisto, {1} = koodisto, {2} = elinkaaritila, {3}=kaavalaji, {4}=kaavalaji",Kaavaehdotus,"Vuorovaikutustapahtuma.laji, KaavaAsianVaihe.elinkaaritila, KaavaAsia.kaavalaji",{0}=http://uri.suomi.fi/codelist/rytj/RY_KaavanVuorovaikutustapahtumanLaji/code/01 {1}=http://uri.suomi.fi/codelist/rytj/RY_KaavanVuorovaikutustapahtumanLaji/code/01 {3}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/11 {4}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/12
83,lifecycle/req-codelist-regionalplan-interactionevent-display-proposal,"Ehdotusvaiheessa nähtäville asettaminen kokonaismaakuntakaavan tai vaihemaakuntakaavan osalta, tulee vuorovaikutustapahtuman lajiksi asettaa 01 -Nähtävilläolo","Kaavalajin ollessa {0} tai {1} elinkaaritilassa {2}, tulee olla annettu Vuorovaikutustapahtuma-luokan laji-attribuutin arvoksi koodiarvo {3}","{0} = kaavalaji, {1} = kaavalaji, {2} = elinkaaritila, {3}-koodisto",Kaavaehdotus,"KaavaAsianVaihe.elinkaaritila, KaavaAsia.kaavalaji, Vuorovaikutustapahtuma.laji",{0}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/11 {1}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/12 {2}=http://uri.suomi.fi/codelist/rytj/kaavaelinkaari/code/04 {3}=http://uri.suomi.fi/codelist/rytj/RY_KaavanVuorovaikutustapahtumanLaji/code/01
84,lifecycle/req-codelist-regionalplan-handlingevent-display-proposal,"Ehdotusvaiheessa nähtäville asettaminen kokonaismaakuntakaavan tai vaihemaakuntakaavan osalta, tulee käsittelytapahtuman lajiksi asettaa 07 -Kaavaehdotuksen nähtäville asettaminen.","Kaavalajin ollessa {0} tai {1} elinkaaritilassa {2}, tulee olla annettu Käsittelytapahtuma-luokan laji-attribuutin arvoksi koodiarvo {3}","{0} = kaavalaji, {1} = kaavalaji, {2} = elinkaaritila, {3}-koodisto",Kaavaehdotus,"KaavaAsianVaihe.elinkaaritila, KaavaAsia.kaavalaji, Käsittelytapahtuma.laji",{0}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/11 {1}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/12 {2}=http://uri.suomi.fi/codelist/rytj/kaavaelinkaari/code/04 {3}=http://uri.suomi.fi/codelist/rytj/kaavakastap/code/
85,lifecycle/req-codelist-regionalplan-interactionevent-display-proposal,"Ehdotusvaiheessa nähtäville asettaminen kokonaismaakuntakaavan tai vaihemaakuntakaavan osalta, tulee kaavapäätöksen nimeksi asettaa 08 -Kaavaehdotuksen nähtäville asettaminen.","Kaavalajin ollessa {0} tai {1} elinkaaritilassa {2}, tulee olla annettu KaavaAsianPäätös-luokan nimi-attribuutin arvoksi koodiarvo {3}","{0} = kaavalaji, {1} = kaavalaji, {2} = elinkaaritila, {3}-koodisto",Kaavaehdotus,"KaavaAsianVaihe.elinkaaritila, KaavaAsia.kaavalaji, KaavaAsianPäätös.nimi",{0}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/11 {1}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/12 {2}=http://uri.suomi.fi/codelist/rytj/kaavaelinkaari/code/04 {3}=http://uri.suomi.fi/codelist/rytj/kaavpaatnimi/code/08
